id,title,year,imdb_id,tmdb_id
1653982,Scooby-Doo and the Alien Invaders,2000,tt0253658,20410
1430300,They,2002,tt0283632,16028
1607099,Console Wars,2020,tt5215462,344031
1412037,The Perfect Guy,2015,tt3862750,304372
1663942,Scooby-Doo! and the Legend of the Vampire,2003,tt0357139,30074
1647683,PAW Patrol: The Mighty Movie,2023,tt15837338,893723
525858,Comedy Central Roast of Bob Saget,2008,tt1276947,324173
525870,Comedy Central Roast of Justin Bieber,2015,tt4504452,333103
1643560,Margaux,2022,tt14967618,846778
1164576,Hey Arnold! The Movie,2002,tt0314166,17710
1665933,Scooby-Doo! in Where's My Mummy?,2005,tt0480461,20558
1983042,Bodyguard of Lies,2025,tt36589896,1465549
1466561,When the Bough Breaks,2016,tt1389139,335791
1378641,The Baxter,2005,tt0401244,13169
1661353,The Prophecy II,1998,tt0118643,9033
1616698,76 Days,2020,tt12801326,728928
1412029,The Perfect Game,2009,tt0473102,56601
1348948,Singularity,2017,tt7312940,484886
1922527,Henry Danger: The Movie,2025,tt7787524,926670
1668155,"Chill Out, Scooby-Doo!",2007,tt1097636,13354
1821008,Dora and the Search for Sol Dorado,2025,tt32621553,1287536
1814932,¡Casa Bonita Mi Amor!,2024,tt32149731,1278666
1587549,Woman in Motion,2021,tt4512946,549358
1127374,Expelled,2014,tt4189442,305932
1531570,Body Cam,2020,tt8179024,513268
1661863,From Dusk Till Dawn 3: The Hangman's Daughter,2000,tt0120695,10213
132204,Approaching the Unknown,2016,tt2674430,328429
1687092,Arena Wars,2024,tt14132588,995803
1628077,Three Months,2022,tt5322004,793992
1414916,The Reckoning,2004,tt0258816,25935
1327359,Rugrats Go Wild,2003,tt0337711,20694
147547,Beneath,2007,tt0467167,21623
1724297,Reinventing Elvis: The 68' Comeback,2023,tt12525482,1146570
525863,Comedy Central Roast of Donald Trump,2011,tt1865333,329243
525864,Comedy Central Roast of Flavor Flav,2007,tt1037714,315850
525872,Comedy Central Roast of Pamela Anderson,2005,tt0474603,296206
1702548,The Eternal Memory,2023,tt24082488,1032760
1398210,The Hunter,1980,tt0080907,5922
1768077,The Painter,2024,tt30253266,1211957
1181452,In a Relationship,2018,tt6676028,448447
1809896,First Shift,2024,tt26434746,1090007
1653994,The Prophecy 3: The Ascent,2000,tt0183678,9011
